Reference,Project name,"Country
(ISO-3)",Date online,Decomission date,Status,Technology,,,,Product,End use,,,,,,,,,,,,,,Announced Size,Normalised capacity,,,,"IEA zero-carbon estimated normalised capacity
[Nm³ H₂/hour]",Refs,"Geographical details
Decimal Degrees
(Lat. N is positive, Long. E is positive)",,,,,,,
2105,Hy2B plant in Pfeffenhausen,DEU,2024,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,5MWor 1.2t H2/d (production),5,1087,0.8,,1087,[1813][2273] [2427],Pfeffenhausen,48.66413062,11.97302149,,,,,
2106,POSCO green ammonia plant,OMN,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,220kt H2/y (production),2539.6,564363,440.0,,564363,[1814],Port of Duqm,19.66692773,57.72544501,,,,,
2107,BLUE SKY 300,GRC,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,50MW,50,11111,8.7,,11111,[1815],Phthiotis,38.77822679,22.72016003,,,,,
2108,Kenya Electricity Generating Company pilot shceme,KEN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,5MW,5,1111,0.9,,1111,,Olkaria,-0.842934319,36.31870492,,,,,
2109,MoU CWP - Ministry of Energy and Natural Resources ,DJI,2031,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,3GW,3000,666667,520,,666667,[1816],Djibouti,11.72055933,42.77294184,,,,,
2111,HyMed,ITA,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,1GW,1000,222222,173.3,,222222,[1818],Random location in Italian Coast,39.30522964,17.43628054,,,,,
2112,NWTN - CMEC Middle East green hydrogen plant,ARE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,20MW,20,4444,3.5,,4444,[1819],Abu Dhabi,24.29893386,54.3540001,,,,,
2113,Plant Zero.1,GBR,2023,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,N/A,Synfuels,,,,,,,,,,,,1,,,,0,,,,0,[1820][1821],Bicester,51.91560676,-1.141052146,,,,,
2114,Trecwn Green Energy Hub ,GBR,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1,,,,,,,,,15MW,15,3333,2.6,,3333,[1822][1949],Pembrokeshire ,51.87698161,-4.930685956,,,,,
2115,Icarus,GRC,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,300MW,300,66667,52.0,,66667,[1818],Random location in southwest Greece,37.77336987,21.07248083,,,,,
2116,Julio Verne project,ESP,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,,,,,,,,,1.4MW,1.4,311,0.2,,311,[1823],Port of Vigo,42.22728685,-8.740421382,,,,,
2117,Lhyfe Delfzijl,NLD,2031,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,1,1,,1,,,,,,,,,,200MW,200,44444,34.7,,44444,[1824][3202],Delfzif,53.3344145,6.92135995,,,,,
2118,"SGP BioEnergy biorefiney, phase 1",PAN,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,1,,,,135 kt H2/y (production),1558.4,346314,270.0,,346314,[1825] [2589][2963],Balboa,8.958139431,-79.56964233,,,,,
2119,"Smartenergy Porto Torres, phase 1",ITA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,1,,,,1,,,,,,,1,,,20MW,20,4444,3.5,,4444,[1826],Porto Torres,40.83096225,8.378441308,,,,,
2120,"Smartenergy Porto Torres, phase 3",ITA,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,1,,,,1,,,,,,,1,,,200MW,180,40000,31.2,,40000,[1826],Porto Torres,40.83096225,8.378441308,,,,,
2121,Statkraft-Foresight Cheshire,GBR,2026,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,1,,,,,,,,,,30MW,30,5769,4.5,,5769,[1827],Frodsham ,53.27841899,-2.737265624,,,,,
2122,Cobra Castellón,ESP,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,90MW,90,20000,15.6,,20000,[1828],Castellón,39.99341067,-0.020854671,,,,,
2123,Cobra Cartagena,ESP,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,115MW,115,25556,19.9,,25556,[1828],Cartagena,37.59702298,-1.009983277,,,,,
2124,Gente Grande project - TEG Chile Magallanes,CHL,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,1.3-1.5 Mt NH3/y (production),3637.7,808389,630,,808389,[1829] [1992],"Primavera, Magallanes",-52.67547911,-69.2546732,,,,,
2125,Jingneng Coal-to-Chemical Renewable Green Hydrogen Alternative Demostration Project,CHN,2028,,Feasibility study,ALK,,Dedicated renewable,Onshore wind,H2,,1,,,1,,,,,,,,,,26816 t H2/y,158.2,34395,27,,34395,[1830][3221],Xingan League,46.1247345,121.9746727,,,,,
2126,"Jingneng Chagannur Wind Poer Hydrogen Production Project, phase 1",CHN,2023,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,384 t H2/y,2.3,493,0.4,,493,[1830],Xilin Gol,43.8984136,116.0348102,,,,,
2128,China Datang Duolun wind-solar hydrogen production demostration project,CHN,2025,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,14000 Nm3/h,63.0,14000,10.9,,14000,[3011],"Xilin Gol, Inner mongolia",43.8984136,116.0348102,,,,,
2129,CHN Energy Wind-solar hydrogen ammonia  + Low-carbon parkdemostration Project,CHN,2026,,Feasibility study,Other Electrolysis,ALK+PEM,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,"26000 Nm3/h capacity , 16ktNH3/y",117,26000,20.3,,26000,[1830],Alxa League,38.85862649,105.7351573,,,,,
2130,Green Ammonia Linz – Decarbonizing Chemical Processes with Water Electrolysis (Gramli),AUT,2026,,Feasibility study,PEM,,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,60MW,60,11538,9.0,,11538,[1831] [2076] [2278] [2279],Linz,48.33649842,14.2900022,,,,,
2131,AES Brazil - Port of Pecem,BRA,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,800 kt NH3/y (production),1663.0,369549,288,,369549,[1832] [2562],Port of Pecem,-3.544616898,-38.81463772,,,,,
2132,Yeosu Blue Hydrogen Project,KOR,2030,,Concept,NG w CCUS,Unknown technology,,,H2,,,,,,,,,,,,,,,"80000 t H2/y, capacity - 430 kt CO2/y",,10261,8,430000,53912,[1833][3088],Yeosu,35.09228022,128.3645867,,,,,
2133,H2 - Jurong Island,SGP,2024,,Operational,ALK,,Other/Unknown,Unknown,H2,,,,,1,,,,,,,,,,9MW,9,1957,2,,1957,[1835][2988],Jurong Island,1.275192472,103.6826911,,,,,
2134,"Carbon Governance  green hydrogen project, phase 1",IDN,2026,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,30 t H2/d (production),210.7,46816,37,,46816,[1837],Bintan ,1.099565011,104.482807,,,,,
2135,"Carbon Governance  green hydrogen project, phase 2",IDN,2028,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,60 t H2/d (production),210.7,46816,37,,46816,[1837],Bintan ,1.099565011,104.482807,,,,,
2136,"Carbon Governance  green hydrogen project, phase 3",IDN,2033,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,115 t H2/d (production),386.2,85830,67,,85830,[1837],Bintan ,1.099565011,104.482807,,,,,
2137,MoU IHI-Enoc,ARE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,200kt NH3/d (production),692.9,153979,120,,153979,[1838],Dubai,24.96912194,55.13231421,,,,,
2138,"Fortescue Future Industries - Windlab - Queensland hub, phase 1",AUS,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,,0,,,,0,[1839],Random location in North Queensland,-20.18307836,145.0110819,,,,,
2139,"Fortescue Future Industries - Windlab - Queensland hub, phase 1",AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,,0,,,,0,[1839],Random location in North Queensland,-20.18307836,145.0110819,,,,,
2141,"KEPCO, Korea Southern Power, KNOC, Samsun, Posco",SAU,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,1.2Mt NH3/d (production),2494.5,554324,432,,554324,[1841],Random location in Saudi Arabia,23.55917588,38.70203043,,,,,
2142,ReNu - Countrywide Hydrogen - Anantara Energy Holdings MoU,IDN,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,10MW,10,2222,1.7,,2222,[1842],Karimun ,0.775089216,103.4396062,,,,,
2143,PTT - Egat - ACWA MoU,THA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,1.2 Mt NH3/y (production),2494.5,554324,432,,554324,[1843],Random location in Thailand,14.947186,100.918815,,,,,
2144,"Clean Energy Holdings - Clear Fork, phase 1",USA,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,33 t/day (production),139.0,30899,24.1,,30899,[1844][3089],"Clear Fork, Texas",33.02285896,-98.66283734,,,,,
2146,"MercurHy, phase 1",AUS,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,1,,,,,,,,150MW,150,33333,26.0,,33333,[1846],Random location in Mid-West region of Western Australia,-24.87151503,116.5669529,,,,,
2147,"MercurHy, phase 2",AUS,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,1,,,,,,,,500MW,350,77778,60.6,,77778,[1846],Random location in Mid-West region of Western Australia,-24.87151503,116.5669529,,,,,
2148,"MercurHy, phase 3",AUS,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1,1,,,,,,,,1GW,500,111111,86.6,,111111,[1846],Random location in Mid-West region of Western Australia,-24.87151503,116.5669529,,,,,
2149,Orsted - Skovgaard Energy project in western Denmark,DNK,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,150MW,150,33333,26.0,,33333,[1847] [2295],Idomlund,56.4579505,8.924583825,,,,,
2150,Orsted - Skovgaard Energy project in western Denmark,DNK,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,3GW,2850,633333,493.8,,633333,[1847] ,Idomlund,56.4579505,8.924583825,,,,,
2152,"Meirama, phase 2",ESP,,,Concept,ALK,,Grid+Renewables,Onshore wind,H2,1,,,,,,,,,,,,,,200MW,170,36957,28.8,,36957,[1848],Meirama,43.20862085,-8.437899933,,,,,
2153,First Hydrogen - Shawinigan,CAN,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,Unknown,H2,,,,,,1,,,,,,,,,35MW,35,7778,6.1,,7778,[1848],Shawinigan,46.69769048,-72.80986778,,,,,
2154,Blastr Green Steel - Inkoo,FIN,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,1,,,,,,,,,,,800 MW,800,177778,138.6,,177778,[1849],Inkoo,60.0501164,24.00875496,,,,,
2155," Liquid Wind, Flagship 3rd plant",SWE,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,100kt MeOH/y production,220.9,49081,38,,49081,[1850] [2774],"Umea,Vasterbotten ",63.82683018,20.26186435,,,,,
2156,Greenko ZeroC - Kakinada city ,IND,2027,,FID/Construction,ALK,,Grid+Renewables,Others/Various,Ammonia,,1,,,,,,,,,,,,,1.3GW,1300.0,282609,220.3,,282609,[1851] [2683],Kakinada city,16.98884806,82.23555973,,,,,
2157,Enap - Cabo Negro,CHL,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,1,,,,1,1,,,,,,,,,1MW,1,222,0.2,,222,[1852][2389],Cabo Negro,-52.83957293,-70.20085087,,,,,
2158,Hydrogen Offshore Production Europe (HOPE),BEL,2026,,DEMO,PEM,,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,10MW,10,1923,1.5,,1923,[1853] [2440],port of Ostend,51.25206487,2.907652439,,,,,
2159,Linde - Fort Saskatchewan ,CAN,2029,,FID/Construction,NG w CCUS,ATR+CCUS,,,H2,,,,,1,,,,,,,,,,1000 kt H2/y - 2Mt CO2/y,,1282643,1000,2200000,275828,[1854][2245][3084],Fort Saskatchewan,53.71402262,-113.2079564,,,,,
2160,Yara-BASF Gulf Coast,USA,2029,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1,,,,,,,,,,,,,1.2-1.4 Mt NH3/y,,300259,234,,0,[1855],Random location in Gulf Coast,29.79420741,-92.5736165,,,,,
2161,SSE Aldbrough storage site,GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,1,,,,,,,,35MW,35,7778,6.1,,7778,[1856],Aldbrough,53.823794,-0.105366945,,,,,
2163,Kintore Scotland Hydrogen project - phase 1,GBR,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,1,,,,,,,500MW,500,111111,86.6,,111111,[1859][2966],"Kintore, Inverurie, UK",57.23340616,-2.34648168,,,,,
2164,Kintore Scotland Hydrogen project - phase 2,GBR,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,1,,,,,,,3GW,2500,555556,433.1,,555556,[1859] 2023 ref [3071],"Kintore, Inverurie, UK",57.23340616,-2.34648168,,,,,
2165,Rosedale Green Hydrogen project,AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1,,,,,,,,,560MW,560,124444,97.0,,124444,[1860],Rosedale,-38.15117361,146.78955,,,,,
2166,Mauritania - Green Ammonia project - phase 1,MRT,2028,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,"400MW or 0,28-0,3 Mt NH3 production",400,88889,69.3,,88889,[1861],Nouakchott,18.07759741,-15.96626881,,,,,
2167,Mauritania - Green Ammonia project - phase 2,MRT,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,10GW or 8 Mt NH3 production,9600,2133333,1663.2,,2133333,[1861],Nouakchott,18.07759741,-15.96626881,,,,,
2168,Rio Grande do Sul,BRA,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1,,,,,,,,,,,,,"483MW or 240,000 t/yr NH3",483,107333,83.7,,107333,[1862],Rio Grande do Sul,-29.29939561,-52.39302795,,,,,
2169,Alesund green hydrogen project - phase 1 - FjordH2,NOR,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,20MW,20,4444,3.5,,4444,[1863][2960],Alesund,62.47660496,6.221189972,,,,,
2170,Alesund green hydrogen project - phase 2 - FjordH2,NOR,2027,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,270MW,250,55556,43.3,,55556,[1863][2960],Alesund,62.47660496,6.221189972,,,,,
2171,"EWE - Clean Hydrogen Coastline, project Bremen",DEU,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,1,,,,,,,,,,,50MW,50,11111,8.7,,11111,[1864][1865][2588][3217],Bremen,53.15648535,8.692340487,,,,,
2172,Valle H2 Navarra project,ESP,2026,,Feasibility study,PEM,,Grid+Renewables,Others/Various,H2,,,,,1,1,,,,,,,,,"25MW, 5x5MW modular ",25,5000,3.8,,5000,[1866],Sangüesa,42.57314001,-1.277834128,,,,,
2173,Saltend Chemicals Park - Hull - phase 1,GBR,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1,1,,,,,,,,,100MW,100,22222,17.3,,22222,[1867] [2676],"Hull, UK",53.76880722,-0.326574708,,,,,
2174,Liquid Organic Hydrogen Carrier (LOHC) for Hydrogen Transport from Scotland (LHyTS),GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,LOHC,,,,,,,,,,,,,,,,0,,,,0,[1868],Aberdeen,57.16089173,-2.080863884,,,,,
2176,"Borna Hydrogen Plant, phase 1",DEU,,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1,,,,,,,,,100MW,100,22222,17.3,,22222,[1870],Borna ,51.11953749,12.5030657,,,,,
2177,"Borna Hydrogen Plant, phase 2",DEU,,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1,1,,,,,,,,,1GW,900,200000,155.9,,200000,[1870],Borna ,51.11953749,12.5030657,,,,,
2178,Hybla Project,ITA,,,Concept,PEM,,Other/Unknown,,H2,,,,,,,,,,,,,,,80 MW,80,15385,12.0,0,15385,[1871],Sasol plant in Sicilia,37.22473898,15.17539493,,,,,
2179,Votalia - Taqa Arabia -phase 2 ,EGY,2032,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,1GW,500,111111,86.6,,111111,[1872] [2591],Ain Sokhna port,29.64890991,32.35073039,,,,,
2180,Nujio'qonik Green Hydrogen -phase 1,CAN,2031,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,Ammonia,,1,,,,,1,1,,,,,,,650 MW - 400 kt ammonia/y production,650,125000,97.5,,125000,[1873][1975],"Stephenville, Canada",48.52239588,-58.43472528,,,,,
2181,RIC Energy Valladolid -phase 2,ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,5MW,5,1111,0.9,,1111,[1874],Polígono Industrial La Encomienda,41.61815064,-4.813024608,,,,,
2184,Ground Investment Corp (GIC) - green hydrogen project,ROU,,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1,,,,,,,,,10MW,10,1923,1.5,,1923,[1877],Random location in Romania,46.32636511,25.36065568,,,,,
2185,Nascar,ESP,2026,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,MeOH,,,1,,,,,,,,,,,,7.2 kt H2/y (production),138.5,30783,24.0,,30783,[1878],Tabernas,37.05285579,-2.389949678,,,,,
2187,Vientos Magallanicos,CHL,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1,,,,,,,,,,,,,800MW,800,177778,138.6,,177778,[1880] [2125],Laguna Blanca,-52.27898526,-71.27944865,,,,,
2188,Dow Stade,DEU,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,MeOH,,,1,,,,,,,,,,,,200kt MeOH/y,387.5,86107,67,,86107,[1881],Hamburgo,53.569583,9.870143284,,,,,
2189,"Swiss Liquid Future - Elkem, methanol plant",NOR,,,Concept,ALK,,Other/Unknown,,MeOH,,,1,,,,,,,,,,,,100 million litres of mthanol/y (production),819.8,178220,139,,178220,[1882],Mo Industrial Park,66.310371,14.169271,,,,,
2190,Eastern Cape MeOH plant,ZAF,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,120MW,120,26667,20.8,,26667,[1883],Humansdorp,-34.00282121,24.75536183,,,,,
2191,Maersk - Ørsted methanol Gulf plant,USA,2028,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,675MW,675,150000,116.9,,150000,[1884],Random location in Florida,29.76314818,-85.23282349,,,,,
2192,Maersk - Carbon Sink methanol plant,USA,2027,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,MeOH,,,1,,,,,,,,,,,,100kt MeOH/y,220.9,49081,38,,49081,[1885],Rosholt,45.87386625,-96.72402358,,,,,
2193,"H2 Emden Electrolyzer, phase 2",DEU,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,200MW,190,42222,32.9,,42222,[1886],Emden,53.36024608,7.211641662,,,,,
2195,Element Resources - Lancaster,USA,2026,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,1,1,,,,,,,,,135MW,135,29348,22.9,,29348,[1888][3048],Lancaster,34.71143297,-118.3446874,,,,,
2196,Solar methanol,AUS,2028,,Feasibility study,PEM,,Dedicated renewable,Others/Various,MeOH,,,1,,,,,,,,,,,,10MW,10,1923,1.5,,1923,[1889],Port Augusta ,-32.46579064,137.7820154,,,,,
2197,ScaleH2,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1,,,,,,,,,,,,,1GW,1000,222222,173.3,,222222,[1889],Illawarra ,-34.4502379,150.7766791,,,,,
2198,Omnia - WKN Windcurrent  green ammonia plant,ZAF,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,100 kt NH3/y production,207.9,46194,36,,46194,[1890],Random location in South Africa,-30.95374363,18.28685245,,,,,
2199,Brooge Renewable Energy's (BRE) renewable ammonia plant ,ARE,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,Ammonia,,1,,,,,,,,,,,,,600 kt NH3/y production,2078.7,461936,360,,461936,[1891],Abu Dhabi,24.1458625,54.32578802,,,,,
2200,Pronghorn H2,USA,2028,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1,1,,,,,,,,1,1,,,1000MW,1000,222222,173.3,,222222,[1892],Random location in Wyoming,42.73641973,-107.5981156,,,,,
2201,Gobi H2,MNG,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,10MW,10,2222,1.7,,2222,[1893],Random region in south Gobi region,43.31299412,107.0405459,,,,,
2202,Sustainable Fuels Group - CIP Carbon reduced Ammonia plant St Rose (LA),USA,2027,,Feasibility study,NG w CCUS,ATR+CCUS,,,Ammonia,,1,,,,,,,,,,,,,4 kt NH3/d (production),,337214,263,,0,[1894],Random location in Gulf Coast,30.72844254,-88.58554723,,,,,
2203,China State Shipbuilding (CSSC) 500MW wind power hydrogen methanol production project in Tong Liao ,CHN,2026,,FID/Construction,ALK,,Dedicated renewable,Onshore wind,MeOH,,,1,,,,,,,,,,,,280 kt MeOH/y capacity,316.1,68713,54,,68713,[1895][2553] [2614][3229],Tong Liao ,43.80122085,122.2512643,,,,,
2204,"Hy2gen Yucatan Marengo project,  1",MEX,2028,,Concept,ALK,,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,160MW,160,34783,27.1,,34783,[1896],"Campeche, Yucatan",19.43991138,-90.44230274,,,,,
2205,"Hy2gen Yucatan Marengo project,  2",MEX,2028,,Concept,PEM,,Dedicated renewable,Others/Various,Ammonia,,1,,,,,,,,,,,,,40MW,40,7692,6.0,,7692,[1896],"Campeche, Yucatan",19.43991138,-90.44230274,,,,,
2207,GuofuHee - CMEC - Longyuan Power grren H2 plant in Inner Mongolia,CHN,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,3.3 kt H2/y (production),38.1,8465,7,,8465,[1898],Fengzhen,40.46549586,113.2222216,,,,,
2208,Lhyfe Bade-Würtemberg,DEU,2025,,FID/Construction,ALK,,Grid,,H2,,,,,1,1,,,,,,,,,10MW,10,2174,1.7,,2174,[1900],Schwäbisch Gmünd ,48.79371511,9.804616164,,,,,
2209,"Fiume Santo, demo plant",ITA,,,DEMO,PEM,,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,1MW,1,192,0.1,,192,[1901],Fiume Santo,40.79145941,8.270238388,,,,,
2210,"Fiume Santo, comercial plant",ITA,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,50MW,50,11111,8.7,,11111,[1901],Fiume Santo,40.79145941,8.270238388,,,,,
2211,OX2 Neptunus Hub,SWE,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,225 kt H2/y (production),2361.2,524718,409,,524718,[1902],Aprox location in the map,55.70834999,16.04351829,,,,,
2212,"Urbaser methanol plant, phase 1",ESP,2026,,Feasibility study,Biomass,Waste gasification,,,MeOH,,,1,,,,,,,,,,,,66 kt MeOH/y (production),,10798,8,,10798,[1903],Zaragoza,41.68330086,-0.922446717,,,,,
2213,"Urbaser methanol plant, phase 2",ESP,2028,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,MeOH,,,1,,,,,,,,,,,,70 kt MeOH/y (production),154.6,34357,27,,34357,[1903],Zaragoza,41.68330086,,,,,,
2214,"Los Barrios coal plant, Cadiz, phase 2",ESP,2030,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,1,1,,,,,,,,,,100MW,100,22222,17.3,,22222,[1904],Los Barrios,36.18514022,-5.492609168,,,,,
2215,"Los Barrios coal plant, Cadiz, phase 3",ESP,2030,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,400MW,400,88889,69.3,,88889,[1904],Los Barrios,36.18514022,-5.492609168,,,,,
2216,Hydrogen Utopia waste-to-plastic plant,IRL,,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,,,,,,,,,,,,,,,,0,[1905],Longford County,53.69965206,-7.728379161,,,,,
2217,Toqlukuti'k Wind and H2 Project - Phase 1,CAN,2029,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,1,1,,,,,,,,,1,,,,35 kt H2/y (production),505.0,112231,88,,112231,[1906] [2123],Come By Chance refinery ,47.81208505,-53.91198476,,,,,
2218,Holmaneset Project (GAP FFI Holmaneset),NOR,2027,,Feasibility study,PEM,,Grid,,Ammonia,,1,,,,,,,,,,,,,300MW,300,57692,45.0,,57692,[1907],Holmaneset ,61.76857919,5.297278947,,,,,
2219,Onyx plant - Port of Rotterdam,NLD,2028,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,,,,,,,,,,,,,,,300kt H2/y,,384793,300,,0,[1908],Port of Rotterdam,51.95886161,4.056341906,,,,,
2221,"Chubu Electric Power - Chiyoda - Hazer, phase 1",JPN,2030,,Concept,Other,Methane pyrolysis,,,H2,,,,,1,1,1,,,,,,,,2.5-10 kt H2/y,,8017,6,,8017,[1910],Chubu region,35.36631876,136.8597274,,,,,
